Close,High,Low,Open,Volume,rsi,macd,sma_50,sma_200,Date,action,prob
GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,,,,,,
167.88784790039062,169.3727046333075,167.30985028367255,168.47580548761593,35211400,58.11783950108701,2.565453745377198,158.73897766113282,170.13634651184083,2025-05-23,WAIT,0.53
172.30255126953125,172.5716225630013,169.4125780788469,169.57202886061165,37995700,62.44502254635672,3.0143410521439193,158.88666564941406,170.20876907348634,2025-05-27,DON'T BUY,0.415
171.76441955566406,174.66436785084326,171.31597754856884,172.56165823831284,34784000,61.60942892537415,3.2887540355171154,159.04750854492187,170.2631600189209,2025-05-28,DON'T BUY,0.445
171.26612854003906,173.81727988052086,170.04038313314817,173.39873303929133,29317300,60.79815624533172,3.4265215735457843,159.27053497314452,170.30691734313965,2025-05-29,DON'T BUY,0.44
171.1465606689453,171.61493780799663,166.86141620850907,170.75790891590938,52639900,60.59197417605639,3.485872246688473,159.42699279785157,170.356928024292,2025-05-30,DON'T BUY,0.45
168.44593811035156,169.28303195267003,166.8116055203689,167.2600475640349,38612300,55.97469338784318,3.2772127438020107,159.55116271972656,170.38415168762208,2025-06-02,WAIT,0.52
165.6057586669922,167.89781407143477,164.70887469424017,166.91124474262,45084900,51.52758661028649,2.8498189014001696,159.5948110961914,170.41599075317382,2025-06-03,DON'T BUY,0.46
167.46929931640625,167.6387100496484,165.78513674832732,166.16382850855194,26900800,54.10412861930182,2.631148120538313,159.6021856689453,170.4525302886963,2025-06-04,DON'T BUY,0.495
167.62876892089844,170.33935616350743,167.01090094696792,169.75139851627495,36379100,54.32785526981539,2.4425614872238555,159.5553485107422,170.48162559509277,2025-06-05,WAIT,0.53
173.07984924316406,173.897023068816,170.239706414102,170.239706414102,35731800,61.27660777671178,2.701816982702667,159.7271530151367,170.5195573425293,2025-06-06,DON'T BUY,0.395
175.69395446777344,176.07310468622353,173.97782168090652,174.14743750903665,28935900,64.09761322998654,3.082680058528638,160.00744445800783,170.56802772521974,2025-06-09,DON'T BUY,0.38
178.19833374023438,180.70268325607967,174.5166301339373,175.80372221831115,61766100,66.60743041797636,3.545726341283455,160.49547668457032,170.63562309265137,2025-06-10,DON'T BUY,0.265
176.9511260986328,179.96432281914957,176.3524694759701,179.3656814209572,31646800,64.20040924635124,3.7686124051797663,160.95238647460937,170.70715995788575,2025-06-11,DON'T BUY,0.32
175.30484008789062,176.32255032681226,174.3569797237004,175.78375628436552,20941900,61.06358122036762,3.7689634298235717,161.32793853759765,170.7614296722412,2025-06-12,DON'T BUY,0.43
174.27716064453125,176.73163473712606,172.00228964381978,172.05218023736916,27663100,59.12163839675886,3.6443071723982143,161.68353454589842,170.8078800201416,2025-06-13,WAIT,0.525
176.3724365234375,176.5420523549515,174.25719419482596,174.33701609632743,27389200,61.78974013928496,3.6722559619361164,162.20699920654297,170.87215461730958,2025-06-16,DON'T BUY,0.42
175.5542755126953,176.96110799729416,174.1873615915514,175.30483777675101,24973000,60.1391159895338,3.587037685509898,162.8161471557617,170.94142372131347,2025-06-17,DON'T BUY,0.45
172.93020629882812,176.16290971424257,172.81046582918458,175.6141436330853,28707500,55.05891746163179,3.2700658486223517,163.34989318847656,171.0028847503662,2025-06-18,WAIT,0.535
166.2652130126953,173.94789206625825,165.08787423262584,173.55876981570484,75659900,44.72464978273976,2.4527800065987435,163.79119720458985,171.02307723999024,2025-06-20,DON'T BUY,0.41
164.81846618652344,166.96362443515676,161.63563852290417,165.89603893694584,57671000,42.84478127005046,1.6690944290611185,163.92433502197267,171.065923538208,2025-06-23,DON'T BUY,0.36
166.3949432373047,167.84167918331357,165.75638318822968,166.5445998017471,40524300,45.531402934939784,1.1618335911203417,164.20639526367188,171.1211701965332,2025-06-24,DON'T BUY,0.395
