Ticker,Probability,ActionRaw,Signal,Scan Time,Sector
JPM,0.845,BUY,BULLISH,2026-03-27 22:30:13,Financials
LMT,0.74,BUY,BULLISH,2026-03-27 22:30:13,Other
MSFT,0.635,BUY,BULLISH,2026-03-27 22:30:13,Technology
META,0.525,WAIT,NEUTRAL,2026-03-27 22:30:13,Technology
AAPL,0.47,DON'T BUY,BEARISH,2026-03-27 22:30:13,Technology
NVDA,0.385,DON'T BUY,BEARISH,2026-03-27 22:30:13,Technology
GOOGL,0.28,DON'T BUY,BEARISH,2026-03-27 22:30:13,Technology
TSLA,0.21,DON'T BUY,BEARISH,2026-03-27 22:30:13,Consumer
XOM,0.195,DON'T BUY,BEARISH,2026-03-27 22:30:13,Energy
CAT,0.195,DON'T BUY,BEARISH,2026-03-27 22:30:13,Industrials
AMZN,0.155,DON'T BUY,BEARISH,2026-03-27 22:30:13,Consumer
JNJ,0.05,DON'T BUY,BEARISH,2026-03-27 22:30:13,Healthcare
JPM,0.845,BUY,BULLISH,2026-03-27 22:39:58,Financials
LMT,0.74,BUY,BULLISH,2026-03-27 22:39:58,Other
MSFT,0.635,BUY,BULLISH,2026-03-27 22:39:58,Technology
META,0.525,WAIT,NEUTRAL,2026-03-27 22:39:58,Technology
AAPL,0.47,DON'T BUY,BEARISH,2026-03-27 22:39:58,Technology
NVDA,0.385,DON'T BUY,BEARISH,2026-03-27 22:39:58,Technology
GOOGL,0.28,DON'T BUY,BEARISH,2026-03-27 22:39:58,Technology
TSLA,0.21,DON'T BUY,BEARISH,2026-03-27 22:39:58,Consumer
XOM,0.195,DON'T BUY,BEARISH,2026-03-27 22:39:58,Energy
CAT,0.195,DON'T BUY,BEARISH,2026-03-27 22:39:58,Industrials
AMZN,0.155,DON'T BUY,BEARISH,2026-03-27 22:39:58,Consumer
JNJ,0.05,DON'T BUY,BEARISH,2026-03-27 22:39:58,Healthcare
JPM,0.845,BUY,BULLISH,2026-03-28 08:22:42,Financials
LMT,0.74,BUY,BULLISH,2026-03-28 08:22:42,Other
MSFT,0.635,BUY,BULLISH,2026-03-28 08:22:42,Technology
META,0.525,WAIT,NEUTRAL,2026-03-28 08:22:42,Technology
AAPL,0.47,DON'T BUY,BEARISH,2026-03-28 08:22:42,Technology
NVDA,0.385,DON'T BUY,BEARISH,2026-03-28 08:22:42,Technology
GOOGL,0.28,DON'T BUY,BEARISH,2026-03-28 08:22:42,Technology
TSLA,0.21,DON'T BUY,BEARISH,2026-03-28 08:22:42,Consumer
XOM,0.195,DON'T BUY,BEARISH,2026-03-28 08:22:42,Energy
CAT,0.195,DON'T BUY,BEARISH,2026-03-28 08:22:42,Industrials
AMZN,0.155,DON'T BUY,BEARISH,2026-03-28 08:22:42,Consumer
JNJ,0.05,DON'T BUY,BEARISH,2026-03-28 08:22:42,Healthcare
