Ticker,Action,Prob Up (5d),Latest Close,Rows (test)
JPM,BUY,0.845,283.04998779296875,213
LMT,BUY,0.74,618.1950073242188,213
MSFT,BUY,0.635,358.8800048828125,213
META,WAIT,0.525,521.1300048828125,213
AAPL,DON'T BUY,0.47,249.88999938964844,213
NVDA,DON'T BUY,0.385,167.84500122070312,213
GOOGL,DON'T BUY,0.28,274.3500061035156,213
TSLA,DON'T BUY,0.21,360.00390625,213
XOM,DON'T BUY,0.195,170.61500549316406,213
CAT,DON'T BUY,0.195,696.239990234375,213
AMZN,DON'T BUY,0.155,200.6300048828125,213
JNJ,DON'T BUY,0.05,242.07000732421875,213
